symbol,raw_d_json,raw_d_len,exported_at_utc
NYSE:BRK.B,"[[""common""], -0.007906232087446972, -0.00494154156331283, -0.41328006612481505, 0.22380669439492878, -2.4990366088632037, 5.205929437202429, 1.3590521687748436, 1.0120568508463736, 0.6223901372042147, -0.5412000865920139, -0.09880837104519495, 0.7750230113453263, 0.7604675834580908, -0.5549760887961729, 974499647849.8972, 3269574, 20401012, 15270009, 1654502531.22, 10323524102.359999, 7727082654.2699995, ""Finance"", ""Finanzas"", {""logoid"": ""berkshire-hathaway"", ""style"": ""single""}, 505.89, 100, ""BRK.B"", ""Berkshire Hathaway Inc. Class B"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:JPM,"[[""common""], 0.12284669291118679, 0.09629743346406355, -0.9445948185383681, 0.8350437203025193, -0.09192968771764796, 14.111171211301652, 25.249703150101283, 11.206201550387593, 19.54666666666666, -0.35629453681710777, -0.10037921035021573, 0.8745403335643168, 2.1565315315315385, -0.292769154283821, 953331920779.1016, 4857768, 28662101, 20697995, 1742189915.52, 10279375902.64, 7423128926.8, ""Finance"", ""Finanzas"", {""logoid"": ""jpmorgan-chase"", ""style"": ""single""}, 358.61, 100, ""JPM"", ""JPMorgan Chase & Co."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:WMT,"[[""common""], -0.24199277652958875, -0.11653381811401668, -1.180593986349383, 3.928606072363951, -4.7220987105380186, -9.471905365441481, -12.5352055185926, -3.8456360780794228, 7.236512861575423, -0.2767017155506338, 0.03733432891544358, 0.6551579433172545, 2.1509398672028404, -0.20291459140379897, 850021542128.5093, 19113284, 126099596, 91910863, 2047797247.76, 13510310715.44, 9847329861.82, ""Retail Trade"", ""Comercio minorista"", {""logoid"": ""walmart"", ""style"": ""single""}, 107.14, 100, ""WMT"", ""Walmart Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:AMD,"[[""common""], 1.2297254319940658, 0.736349058992322, 4.693528586460884, 1.0687378312029145, -1.4293233160300955, -4.39517541664581, 144.56905822707017, 118.16811329374141, 198.60255728889862, 1.120220975096448, -0.26592960194316684, 1.273930633072546, 4.949781659388638, 1.2802525429673743, 779621080349.9078, 19312002, 74794685, 62331686, 9222832795.14, 35719697715.45, 29767743283.02, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""advanced-micro-devices"", ""style"": ""single""}, 477.45, 100, ""AMD"", ""Advanced Micro Devices, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:V,"[[""common""], -0.078600642127284, -0.3038311327353116, -0.9716171617161734, -1.3752300815145986, 0.7440236368519961, 16.33684863523574, 18.676137891755914, 7.202675279389485, 6.9398112508197105, -1.5207920792079184, 0.03999253472686008, 0.748025491089331, 1.3676265924419264, -1.0191419141914226, 700273452751.7285, 4591348, 26665560, 19920570, 1722076894.36, 10001451589.2, 7471608189.9, ""Finance"", ""Finanzas"", {""logoid"": ""visa"", ""style"": ""single""}, 375.02, 100, ""V"", ""Visa Inc. Class A"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:JNJ,"[[""common""], -0.12160371708079801, -0.18501052020606823, -1.1493014402183632, 3.5555722778237815, 7.827619980411368, 19.665217391304356, 15.58700627847889, 33.077071849917814, 54.623595505617985, -0.872750781165825, 0, 0.6022891212377921, 1.339399454049138, -1.1852171102251954, 663276329505.8533, 3878747, 31668340, 23767922, 1067547536.8100001, 8716077218.2, 6541645172.06, ""Health Technology"", ""Tecnologías sanitarias"", {""logoid"": ""johnson-and-johnson"", ""style"": ""single""}, 275.15, 100, ""JNJ"", ""Johnson & Johnson"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:XOM,"[[""common""], -0.2439787300594222, -0.5640275746814192, -1.689168361999882, 1.8326947637292494, 2.860644370625989, 4.911022663728169, 4.126673196212859, 32.792072612207505, 42.25056866330671, -1.0480241662043135, -0.1066031228444143, 1.1545220738723512, 1.916310630811769, -0.7336169163430107, 655726651222.9791, 15932332, 70741458, 52372340, 2540728984.04, 11281140307.26, 8351817059.8, ""Energy Minerals"", ""Minerales energéticos"", {""logoid"": ""exxon"", ""style"": ""single""}, 159.46, 100, ""XOM"", ""Exxonmobil Holdings Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:MA,"[[""common""], -0.25832673165019115, -0.5050678577564086, -1.1097642177869593, -2.481690377977946, 0.6027026088164844, 19.67272389177575, 11.463705642367804, 1.4893728864046538, -2.3304048699053905, -0.46268631233887697, 0.05006819633638294, 0.6011030998783073, 1.209586839695184, -0.8502501237813965, 507393734255.25696, 1675885, 12668188, 9516357, 970689350.85, 7337541171.4800005, 5511969137.97, ""Finance"", ""Finanzas"", {""logoid"": ""mastercard"", ""style"": ""single""}, 579.16, 100, ""MA"", ""Mastercard Incorporated Class A"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:INTC,"[[""common""], 1.1208679866593465, 1.0494120128671671, 4.505290716701206, 6.13194482911427, -3.5246727089627394, -10.03005259203607, 114.46160734273562, 153.64045538787394, 301.6771488469601, 0.6981564306752488, -0.1882045929018816, 1.165431708355011, 4.64787199303363, 0.85087814988546, 503383615922.0268, 94812627, 375445227, 310257009, 9083049666.6, 35967652746.6, 29722621462.2, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""intel"", ""style"": ""single""}, 95.81, 100, ""INTC"", ""Intel Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:ORCL,"[[""common""], 0.9441459770480425, 0.7487784757916154, 3.0771228252402034, 3.372395833333338, 9.50344827586207, -30.811800078434793, 3.832069055715416, -19.592849546766598, -28.47747747747748, 3.7392884964944297, 0.23302682957551615, 1.2915792969326594, 3.6117669580754237, 3.5153206959231507, 457361157072.9605, 26111924, 114682540, 98563636, 4146051292.7200003, 18209293701.2, 15649934124.08, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""oracle"", ""style"": ""single""}, 158.77, 100, ""ORCL"", ""Oracle Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:ABBV,"[[""common""], -0.058477252348827446, -0.007800920508612922, -1.4411436916336806, -0.854370433370718, 3.829959514170032, 12.79412411487882, 11.33009202986628, 12.118562560111904, 20.829210836277966, -1.1567580031512976, 0.015596974187015701, 1.1906884352075509, 1.8115658502230092, -0.8646862149802084, 453194890329.7282, 4679123, 19965612, 15650125, 1200007884.58, 5120380853.5199995, 4013631057.4999995, ""Health Technology"", ""Tecnologías sanitarias"", {""logoid"": ""abbvie"", ""style"": ""single""}, 256.36, 100, ""ABBV"", ""AbbVie, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:BAC,"[[""common""], 0.039901045407387405, 0.02393680682996979, -0.5710659898477148, 2.117953730856952, -0.5079365079365084, 15.709802473693921, 29.104016477857886, 13.901508268217334, 24.761146496815282, -0.6186548223350263, -0.03190810465858827, 0.8149050232211339, 1.7430600387346646, -0.7614213197969494, 438305484548.78546, 25798170, 152712295, 109241921, 1617029295.6, 9572006650.6, 6847283608.28, ""Finance"", ""Finanzas"", {""logoid"": ""bank-of-america"", ""style"": ""single""}, 62.68, 100, ""BAC"", ""Bank of America Corp"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:CSCO,"[[""common""], -0.13693780718387968, -0.13721185510427322, 0.54322806371421, -2.7691211824414563, -11.93548387096774, -15.125136017410224, 39.08170413296822, 42.47504729597496, 60.35242290748901, 0.9115182764017999, 0, 0.8529638674136949, 1.6009174311926648, 0.9483472976705656, 430530466775.3283, 11973790, 72583184, 51737788, 1307537868, 7926083692.8, 5649766449.6, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""cisco"", ""style"": ""single""}, 109.17, 100, ""CSCO"", ""Cisco Systems, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:PLTR,"[[""common""], -0.00573657641119258, -0.17181146555180765, -4.492412206212671, -5.742092457420912, 7.61111111111112, 24.233030464992, 15.88008508375433, -3.8444567015995577, 12.569011719885063, -1.4463375883416505, -0.14340618367464003, 0.8501842374656104, 5.10162952726436, -1.3805949706897551, 418931223381.71893, 27457720, 155948038, 130006854, 4786704327.6, 27186421464.54, 22664094857.820004, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""palantir"", ""style"": ""single""}, 174.31, 100, ""PLTR"", ""Palantir Technologies Inc. Class A"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:CVX,"[[""common""], -0.023970468382957653, -0.2940403050369387, -1.2871474540980499, 4.310431043104313, 9.106124797322034, 10.335343277266471, 9.283319362950545, 37.088029441724444, 31.97519929140832, -0.733484762445572, 0.19175455417066428, 0.70352236891922, 2.027809965237538, -0.8565209161461301, 412145894997.30365, 5387622, 40285934, 28218558, 1123857949.2, 8403645832.4, 5886391198.8, ""Energy Minerals"", ""Minerales energéticos"", {""logoid"": ""chevron"", ""style"": ""single""}, 208.54, 100, ""CVX"", ""Chevron Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:COST,"[[""common""], -0.22667335062444594, -0.12110400686150458, -1.0449422418171361, -2.4703520477988294, -4.310389868232688, -6.318158567774935, -5.301420364941234, 6.340432450008131, -3.950073421439057, -0.14047827449454345, 0.02839233843667317, 1.0773407795094878, 1.47615194524023, 0.07348094358177064, 406111283574.3117, 2051500, 10292253, 7899212, 1878640610, 9425027762.22, 7233624396.88, ""Retail Trade"", ""Comercio minorista"", {""logoid"": ""costco-wholesale"", ""style"": ""single""}, 915.54, 100, ""COST"", ""Costco Wholesale Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:LRCX,"[[""common""], 1.4457101892197821, 1.6353364828702595, 5.1219845554568275, -3.2638430336760673, -3.4187229233377416, -3.970409214345921, 49.74446337308347, 72.98285071689625, 215.02150317427808, 3.8167156427253324, 0.006500893872920089, 1.2711244207781704, 5.931804425314408, 3.691997539807267, 384968924287.0766, 8336255, 35599019, 28645610, 2564648850.75, 10952038195.349998, 8812821916.5, ""Producer Manufacturing"", ""Fabricación de productos"", {""logoid"": ""lam-research"", ""style"": ""single""}, 307.64, 100, ""LRCX"", ""Lam Research Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:KO,"[[""common""], 0.011355893708824557, 0.13644115974984689, -0.8332395000563101, -1.2778836453312417, 1.171740379092471, 13.624048509869679, 14.67447916666666, 26.084466714387975, 27.434524670814632, -0.46165972300416236, 0.06812762575224512, 0.9479853821389629, 1.2009106431417267, -0.2533498479901008, 378925464876.70917, 14567596, 85434964, 61663586, 1282968179.7199998, 7524257279.48, 5430712019.0199995, ""Consumer Non-Durables"", ""Consumibles perecederos"", {""logoid"": ""coca-cola"", ""style"": ""single""}, 88.07, 100, ""KO"", ""Coca-Cola Company"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:CAT,"[[""common""], 0.4307578375709712, 0.4830209146055565, 1.7246981778188903, -0.6190400605609133, -6.967653446108119, -12.472981837342585, 19.26385042565974, 40.92002977890892, 95.74805800726296, 0.10748119079161318, -0.23834680688994944, 0.8264685805853683, 2.6042446941323365, 0.2799510085735008, 374147767056.1082, 1902110, 12782196, 9710506, 1548203413.4, 10403940612.24, 7903769253.64, ""Producer Manufacturing"", ""Fabricación de productos"", {""logoid"": ""caterpillar"", ""style"": ""single""}, 813.69, 100, ""CAT"", ""Caterpillar Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:MRK,"[[""common""], -0.0332468914156413, 0.07988283850353119, -1.3194170933438303, 2.460468920392594, 16.165674986477104, 24.306445611278793, 30.545786114367598, 42.452383208566296, 78.5391923990499, -0.9452540370224481, 0, 0.391067081519962, 1.5024819269080822, -0.9912038860443685, 370889902351.1836, 4173071, 40635813, 29509209, 627337763.4300001, 6108781768.290001, 4436119388.97, ""Health Technology"", ""Tecnologías sanitarias"", {""logoid"": ""merck-and-co"", ""style"": ""single""}, 150.34, 100, ""MRK"", ""Merck & Co., Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:AMAT,"[[""common""], 0.5837591523436658, 0.7576059739856816, 4.312816865866797, -4.524839373451478, -16.49112496671289, -5.211481937003606, 37.99162418062637, 70.25235884379212, 191.5929203539823, 3.8035374274506166, -0.0021992038881904746, 0.9368370369376394, 5.4786178274990895, 3.8058314789750116, 360856682292.00397, 5983223, 31838212, 25660890, 2720631330.33, 14477153378.519999, 11668263291.9, ""Producer Manufacturing"", ""Fabricación de productos"", {""logoid"": ""applied-materials"", ""style"": ""single""}, 454.709, 100, ""AMAT"", ""Applied Materials, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:UNH,"[[""common""], 0.3347016103568017, -0.025169896803428828, -0.9477727340749267, 0.18162554866050412, -1.5005332473523678, -0.6006907944135841, 38.21257047400293, 20.01994590428988, 29.741914407056502, -0.9452785953010476, -0.10157627033287417, 1.2017618421491874, 1.7775809716599278, -0.9702199830398529, 356470820356.4281, 4823985, 23046130, 17297532, 1915797402.8999999, 9152540068.199999, 6869541858.48, ""Health Services"", ""Servicios de salud"", {""logoid"": ""unitedhealth"", ""style"": ""single""}, 397.2, 100, ""UNH"", ""UnitedHealth Group Incorporated"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:GE,"[[""common""], 0.07125044531528593, 0.5368647100930599, 1.091519731318216, -2.308126983207029, -11.1298571202615, 3.1263383297644625, 4.155466987981582, 8.836158192090396, 22.220208099191538, -0.006417176442373841, -0.2125355956336012, 0.7442513779323368, 1.495906573561272, -0.3718363919875282, 349783081523.4223, 2446617, 15297206, 10820120, 824803523.04, 5156994086.72, 3647678854.4, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""ge-aerospace"", ""style"": ""single""}, 337.08, 100, ""GE"", ""GE Aerospace"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:MS,"[[""common""], 0.21634062140391203, 0.3595464183645253, 0.2624913654156082, 1.0770659238625782, -0.19024915763173816, -0.2748259435690703, 36.493009842643104, 21.96173990981151, 46.091390995101655, -0.6447156343541357, 0, 0.76446353337535, 1.8268355847973645, -0.695371862767681, 341943681780.8209, 2927702, 18142793, 13935752, 637419279.4399999, 3950048891.96, 3034091925.44, ""Finance"", ""Finanzas"", {""logoid"": ""morgan-stanley"", ""style"": ""single""}, 217.72, 100, ""MS"", ""Morgan Stanley"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:PG,"[[""common""], 0.08883422167554697, 0.10935684505501783, -0.32670841274162116, 2.2268760907504346, -0.9503195914640341, 2.967233863029109, -4.698685409345307, 2.326881419886789, -7.620489528135259, -0.6057718486250928, 0, 0.6765253372351958, 0.9155436683468834, -0.3062891369452686, 340389979722.28125, 5551934, 39697582, 27596880, 813025214.96, 5813313908.08, 4041287107.2, ""Consumer Non-Durables"", ""Consumibles perecederos"", {""logoid"": ""procter-and-gamble"", ""style"": ""single""}, 146.47, 100, ""PG"", ""Procter & Gamble Company"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:DELL,"[[""common""], 1.2560190809625014, -0.6465558104700269, 1.5008036561513585, 12.096325762436376, 12.332965419689444, 29.171698252704736, 264.41632482792176, 308.208722741433, 322.591308554382, -1.14061077867503, -0.31289350173617475, 1.032475947256132, 4.869156130549845, -0.5054319409748473, 339790035461.95935, 10911339, 91593949, 83907480, 5719069223.46, 48008052428.86, 43979266567.2, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""dell"", ""style"": ""single""}, 524, 100, ""DELL"", ""Dell Technologies, Inc. Class C"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:NFLX,"[[""common""], -0.565546165088654, -0.9369460622942631, -5.346558606507804, -2.61962541223322, 4.180535215017975, -4.949893713938661, -21.22218866404913, -16.870285774992027, -36.02844996729888, -0.5322366033627649, 0.07667731629393262, 1.5708567855506106, 5.7011376709702075, -0.604814322003145, 325828293198.6089, 39499629, 137489563, 106748757, 3090845969.25, 10758558304.75, 8353090235.25, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""netflix"", ""style"": ""single""}, 78.24, 100, ""NFLX"", ""Netflix, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:HD,"[[""common""], -0.1741239389322478, 0.17160686427457453, 0.9369006822397642, -2.8593040847201174, -8.312033242421204, 3.2879709165782027, -10.205851093583936, -6.51661182773782, -21.40951261903013, -0.5879208979155546, 0, 0.658399978430671, 1.803226826953492, -0.43072279686861525, 320308265087.42773, 2258837, 16297714, 12438527, 725199618.85, 5232381079.7, 3993389093.35, ""Retail Trade"", ""Comercio minorista"", {""logoid"": ""home-depot"", ""style"": ""single""}, 321.05, 100, ""HD"", ""Home Depot, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:GS,"[[""common""], 0.058800281470190174, 0.20175108356741459, 0.06551501546345478, -0.7529933396401408, -2.359665698357648, -4.960560751084354, 27.280637254901947, 17.489819004524875, 41.54821124361157, -0.3150501478905111, 0.07568769798095851, 0.736028099591884, 1.616708763163279, -0.6590039790737473, 302413561304.9665, 1366549, 8444244, 7083130, 1419311456.8899999, 8770276260.839998, 7356609649.299999, ""Finance"", ""Finanzas"", {""logoid"": ""golden-sachs-etf-trust-goldman"", ""style"": ""single""}, 1038.02, 100, ""GS"", ""Goldman Sachs Group, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:PM,"[[""common""], -0.07117827420061075, -0.13952343172926734, -1.9552022345168323, -4.509547475804345, -3.069406829164676, 3.2584714600893765, 8.313553287443622, 13.896168725820548, 12.561667488899856, -0.8433152495031386, 0, 0.8231190972639325, 2.162102837074026, -0.6123435569640577, 284493723991.3791, 3104710, 16950137, 12935871, 566702716.3, 3093908506.61, 2361184533.63, ""Consumer Non-Durables"", ""Consumibles perecederos"", {""logoid"": ""philip-morris"", ""style"": ""single""}, 182.51, 100, ""PM"", ""Philip Morris International Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:WFC,"[[""common""], 0.13357079252002488, 0.4242018307657909, 0.8745375042045086, 5.338953284158767, 0.8293174941163228, 9.519172245891653, 12.098180912035874, -3.5691318327974257, 11.417956656346748, -0.011212019284662972, -0.4018006002000582, 0.5874967398376632, 1.5778203538825555, -0.493328848525617, 272069221551.27545, 7947480, 80208294, 61081400, 715034775.6, 7216340211.18, 5495493558, ""Finance"", ""Finanzas"", {""logoid"": ""wells-fargo"", ""style"": ""single""}, 89.96, 100, ""WFC"", ""Wells Fargo & Company"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:PANW,"[[""common""], 0.3946853062577211, -0.09294516235419466, 0.3976622281135125, -11.663044054498224, -10.862064353919815, 19.452310118642238, 105.3104977821587, 80.32573994913695, 73.99885135487912, -0.5844429716213767, -0.051011222468947945, 0.7854158777073883, 3.3841158536585336, -0.6868711212869714, 271606901997.91348, 5599322, 43812409, 35009350, 1866030049.72, 14600923423.34, 11667215981, ""Technology Services"", ""Servicios tecnológicos"", {""logoid"": ""palo-alto-networks"", ""style"": ""single""}, 333.22, 100, ""PANW"", ""Palo Alto Networks, Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:RTX,"[[""common""], -0.019924287706710522, 0.20118112791225484, -0.662939692277249, -5.6127485545057105, -8.731818181818186, 12.066752246469836, -1.578354002254791, 9.422343324250676, 26.897554193262973, -0.3067332904566391, 0.03486229393895194, 0.7162171237600599, 1.5524517684887478, -0.6728343145500347, 270616371240.89825, 2788798, 18239923, 14277595, 559962750.42, 3662394139.17, 2866798300.0499997, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""raytheon"", ""style"": ""single""}, 200.72, 100, ""RTX"", ""RTX Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NASDAQ:SNDK,"[[""common""], 1.5686597312223334, 1.4283249092000834, 11.897825709490093, 20.165745856353592, 24.39500418224583, 3.6405222529305186, 217.3734610123119, 612.0933087783917, 3025.5613436321178, 2.0141608627708174, -0.45977011494252873, 1.4541810457547064, 11.702087286527513, 1.9942250432478659, 254769069445.2955, 15900341, 68637563, 45258721, 27666593340, 119429359620, 78750174540, ""Electronic Technology"", ""Tecnología electrónica"", {""logoid"": ""sandisk"", ""style"": ""single""}, 1739.8102, 100, ""SNDK"", ""Sandisk Corporation"", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
NYSE:GEV,"[[""common""], -0.12990249359766523, 0.08927148095009492, 0.01167926611738869, -0.6999862954490335, -7.561334641805687, -0.5637133296033864, 18.787595999848673, 42.462832166245704, 62.17868149653073, 1.0766159857300588, 0.05308137374595254, 0.5670180384642857, 2.0956761043952183, 0.8663891956170865, 250872930036.4764, 1232005, 11560418, 7987943, 1160487109.75, 10889335735.1, 7524242908.85, ""Producer Manufacturing"", ""Fabricación de productos"", {""logoid"": ""ge-verona"", ""style"": ""single""}, 941.79, 100, ""GEV"", ""GE Vernova Inc."", ""delayed_streaming_900""]",30,2026-09-04T21:27:50Z
